ticker,mean_error,std_error,feature_importances,mean_r2,std_r2
RJF,0.0004047256347911895,0.0003961126012186814,"[0.06987318 0.08117004 0.07006171 0.12061825 0.11899944 0.09386861
 0.12762365 0.10851485 0.0997311  0.10953911]",-1.1072666099104858,1.9910181631453718
CTSH,0.00042393755947702096,0.0006211302653968322,"[0.06262961 0.07150389 0.13096277 0.09505883 0.12105425 0.07590754
 0.08627327 0.10864061 0.139405   0.10856427]",-1.5559633107966058,2.812553653852505
PFG,0.000440527770372991,0.0003366036797133129,"[0.07155783 0.09397319 0.09670545 0.12714764 0.09602902 0.10953466
 0.10869808 0.09832023 0.11218693 0.08584692]",-1.9228743056897215,2.8592213769276897
RSG,0.00015908497680662111,0.00017152920770620577,"[0.08980452 0.08581106 0.11037496 0.10553905 0.10377605 0.11654944
 0.08732064 0.10111606 0.11330034 0.08640791]",-2.0245897427853863,3.569769621700146
NTAP,0.00037916079859930964,0.0005451403791750478,"[0.06695234 0.07832209 0.10766836 0.09331944 0.10417446 0.11364153
 0.12825052 0.10634933 0.10848983 0.09283222]",-1.4556996016146257,3.325181444009399
DUK,0.00020995191036667492,0.00017894635771727594,"[0.08530956 0.08354715 0.09115103 0.09446931 0.08170476 0.08114517
 0.12333608 0.10326445 0.16102776 0.09504472]",-1.5362100818640056,3.1167914689014076
COST,0.00025291818815831844,0.00024284589784066753,"[0.07496312 0.09232603 0.10816236 0.08677944 0.09926385 0.09383345
 0.09818179 0.10253899 0.12342228 0.12052862]",-1.4647451167746883,1.6242393648512612
AVB,0.0002903869860471753,0.00027915323171992534,"[0.06468318 0.08745609 0.10110093 0.1606822  0.10521807 0.09965312
 0.07758481 0.13457519 0.09416356 0.07488277]",-0.6800468994079604,1.1008732878307121
FMC,0.0006239331649517199,0.0008061183231909897,"[0.08439882 0.09454688 0.129572   0.12141273 0.0995452  0.09761114
 0.09578829 0.088605   0.09841321 0.09010668]",-2.633536431353707,6.27444515406185
LOW,0.00034498920318107074,0.0002503893920976131,"[0.07267199 0.09329476 0.09963918 0.09972685 0.11533733 0.13644454
 0.10173113 0.09727928 0.0998365  0.08403847]",-1.2512666714977485,1.7322537450758804
EXPE,0.000933137505666923,0.0012605642511997219,"[0.07529393 0.08013403 0.09604537 0.09600274 0.10465213 0.11252983
 0.09425978 0.12049679 0.12331342 0.09727204]",-1.0956590335071716,2.4387028425748456
PGR,0.00041778376409626415,0.0006207399456419405,"[0.07379093 0.08719042 0.10922209 0.1089344  0.11117064 0.10145365
 0.11243081 0.07594147 0.11086039 0.1090052 ]",-1.6756219591533061,2.5827359356207804
EQR,0.00029486525566029,0.0002685440625907935,"[0.07430854 0.09516875 0.07713423 0.13138276 0.09429736 0.1072647
 0.10842403 0.11830732 0.09860879 0.09510358]",-0.8422581499428423,1.1312614577778828
APH,0.0002618633380291987,0.0001790495954238177,"[0.0703543  0.08939316 0.1124307  0.10623328 0.10345377 0.10160356
 0.11274056 0.09594133 0.10924251 0.09860677]",-1.6173145447658401,2.4086743142016114
O,0.00022637405176874188,0.00020916746092015871,"[0.06542423 0.10058795 0.08277537 0.10797177 0.1039863  0.08527561
 0.08378889 0.09581158 0.07063616 0.2037421 ]",-1.9644693282630252,5.376602138362293
USB,0.0007800961903269353,0.0011747193234216953,"[0.08095797 0.06086197 0.09014554 0.12306359 0.08648173 0.09131398
 0.16892625 0.10880663 0.09048341 0.09895894]",-1.1444749849751403,1.534909500403351
HAS,0.0010259229905578925,0.0016525370544419934,"[0.09676692 0.08527521 0.08291022 0.08901329 0.09554838 0.10404808
 0.12685515 0.11939538 0.10579426 0.0943932 ]",-2.0396973955940796,5.4788159903968765
CAG,0.00027128407159500586,0.00038543303895644226,"[0.07454638 0.09864444 0.08906084 0.10077727 0.09404076 0.1200537
 0.10229167 0.10692743 0.0990391  0.11461838]",-2.165377737889706,3.5376645960457527
CHRW,0.0003672324289049317,0.000415560618187434,"[0.07868186 0.08853579 0.09822121 0.09870815 0.10937107 0.09780341
 0.10689745 0.11257867 0.11455689 0.09464549]",-1.4585170661267763,2.845907635898506
NKE,0.0004675814098971616,0.0005889250599487855,"[0.06835335 0.07949802 0.09036214 0.09991859 0.09016322 0.11435741
 0.11072065 0.11202049 0.1317032  0.10290292]",-1.4885271339386337,2.4908340184677695
LLY,0.0004496834836859626,0.000653919414451659,"[0.07428738 0.0908909  0.09363031 0.08919766 0.09852022 0.10046037
 0.09969586 0.11835231 0.12855278 0.10641216]",-1.774682263085709,2.6847445576828366
KR,0.0002461451358079687,0.0003011660259869279,"[0.07054863 0.0992085  0.10157389 0.0840418  0.10422313 0.09888205
 0.09732419 0.10361163 0.14533979 0.09524637]",-1.1573352369831102,2.4850945149480532
PNW,0.00020912355148462616,0.00013453641050295974,"[0.06214661 0.10060444 0.16466261 0.11359762 0.08384979 0.08761666
 0.1254818  0.0846421  0.08820599 0.08919233]",-0.795016831128597,0.9256788744802681
ALL,0.00043996490906146076,0.000515651367644755,"[0.07884249 0.08499139 0.09390642 0.09096066 0.11457361 0.09249669
 0.14331208 0.08930817 0.11490691 0.09670158]",-1.8006538914317276,2.4631968943949465
NVDA,0.001294321296095228,0.0015161011716375325,"[0.07187485 0.09934447 0.11146567 0.09552597 0.10003927 0.08844422
 0.11168731 0.12273318 0.10109021 0.09779483]",-1.4307666445953633,3.511346373687458
LMT,0.0002092474905586411,0.00034537880087478253,"[0.09072225 0.07329858 0.09409026 0.11829573 0.10976098 0.12715328
 0.09398933 0.09213716 0.08573619 0.11481617]",-1.3162855858011013,3.2338808116707005
NEM,0.000591465573195373,0.00045129468507117577,"[0.06853925 0.10077184 0.09854911 0.09454197 0.1090691  0.0940991
 0.11214259 0.09951036 0.11584206 0.1069346 ]",-1.1529664475241028,1.2418861305084166
GOOGL,0.0005332088479367869,0.0005732817222484286,"[0.07414765 0.09032783 0.1047174  0.09404948 0.10411479 0.09332052
 0.1136987  0.09832669 0.1193093  0.10798763]",-1.116230048266613,1.6063273342310929
ADBE,0.000662990646233517,0.0005691749239908901,"[0.07159147 0.08849245 0.09252533 0.09637768 0.11812551 0.13394514
 0.09468637 0.09676004 0.10598767 0.10150844]",-1.5180377623666623,1.8031697508042877
OMC,0.00030322162698836054,0.00027374337077511635,"[0.08641218 0.07664795 0.11368091 0.10432757 0.09988493 0.09677882
 0.10169529 0.12414332 0.10298791 0.0934411 ]",-1.5984804293688437,2.7954458441269088
DOC,0.00038343082533722606,0.00030848823645145856,"[0.09655119 0.07357539 0.10884599 0.09972157 0.1135317  0.12641688
 0.09450997 0.09917416 0.10096948 0.0867037 ]",-0.8303322559891779,1.2610394548845059
BRO,0.0003256313601985451,0.0004133234610525456,"[0.09254118 0.08033992 0.0949541  0.10442429 0.11363423 0.0895295
 0.11355239 0.11594639 0.10427411 0.09080389]",-1.0750441077985982,1.7989532113977005
MRK,0.00020112497037168126,0.00014595125529816267,"[0.09169108 0.07954314 0.10206567 0.10192039 0.10729139 0.10514685
 0.1050097  0.10256477 0.10896205 0.09580492]",-1.5034811419958343,2.5826435279767
CDNS,0.00046477338958148386,0.000511241708156239,"[0.07283293 0.10203196 0.09810732 0.08805665 0.09302153 0.09456307
 0.14497356 0.09520707 0.1036358  0.10757018]",-0.8658747263084746,1.5638511402075874
CMS,0.0002388881548555868,0.00019563781576011256,"[0.0778018  0.0881966  0.10319949 0.103276   0.10108338 0.11014993
 0.08412426 0.12625588 0.10298743 0.10292526]",-1.6798640744591853,3.6990088991069343
ADM,0.00045701336930664867,0.0014629806614384487,"[0.07756873 0.08373959 0.11197954 0.11261978 0.10740617 0.11876488
 0.09681266 0.09951121 0.09028377 0.10131374]",-1.414145998317322,2.4568257111764225
PAYX,0.0002407924550940695,0.00022119704826964839,"[0.08067088 0.08109117 0.06860108 0.12667263 0.13475326 0.07545725
 0.10143477 0.1001716  0.12804231 0.1031051 ]",-1.6094107757731508,4.636429391503823
AMT,0.0003889655891123719,0.00035237212304902674,"[0.07412527 0.09540057 0.11853828 0.11201265 0.09527342 0.10960869
 0.0992291  0.10210475 0.08141866 0.11228856]",-0.9804824249244014,2.6551254415765384
PFE,0.00034538611041891483,0.00034130125037508993,"[0.07952644 0.09531932 0.10140684 0.10432667 0.09794584 0.11641503
 0.10658275 0.09187204 0.09610652 0.11049856]",-2.655551793103093,9.096414110608995
T,0.0003877107202483756,0.0005027258120337672,"[0.07609712 0.08119716 0.09611848 0.09527384 0.11156323 0.11139309
 0.14336595 0.08777952 0.09939    0.09782167]",-1.2903698722425692,1.859398575824711
WYNN,0.0006768156980551567,0.0007797168300962974,"[0.0662993  0.08887692 0.10218316 0.09108376 0.10449003 0.12075281
 0.10708714 0.09571791 0.14495784 0.07855117]",-1.0359690570800797,1.444187056078321
MU,0.0006929281479333296,0.0005576671999276832,"[0.06319097 0.09360451 0.099102   0.09132083 0.10993809 0.09377188
 0.09502637 0.11338394 0.11298771 0.1276737 ]",-0.8136390911325287,1.1797873401541732
BA,0.000492374756924117,0.0004993750641006395,"[0.10078278 0.08359292 0.08404946 0.10683335 0.11187319 0.09224337
 0.14199671 0.09388639 0.09117397 0.09356779]",-1.3312236425108144,2.6870523305726812
MNST,0.0002482347999730554,0.0002666152840140251,"[0.07286127 0.08706401 0.12144379 0.13134362 0.08857126 0.1015866
 0.10443036 0.09600125 0.10003994 0.09665795]",-1.2892253012138544,1.9274335486718663
WDC,0.0007839928193234032,0.0008001172573571426,"[0.06863277 0.08827977 0.09061897 0.11281054 0.11111765 0.10341731
 0.11118865 0.10595022 0.10190247 0.10608168]",-0.767841218118389,0.9757638196410784
WMT,0.00019963142983401923,0.0002968330744053771,"[0.0752529  0.07306356 0.09860898 0.10503121 0.10752316 0.11650205
 0.10834344 0.12078801 0.1005877  0.09429893]",-3.4236022277692117,12.100201932084845
NUE,0.0006598384281962256,0.0006372741455433471,"[0.07030523 0.07481873 0.10063711 0.10231376 0.11829763 0.11082062
 0.11525682 0.09710209 0.11250134 0.09794667]",-1.3381558288889857,2.0289974682277903
NDAQ,0.00034148860384909283,0.00044584164222864113,"[0.0669785  0.08738941 0.09314078 0.10852852 0.15181923 0.09472094
 0.1003106  0.09115318 0.1170975  0.08886141]",-1.058082941232655,1.646023855547676
CCI,0.0004297462681204017,0.0003400705752112425,"[0.0684719  0.09472761 0.10804291 0.10390394 0.09597541 0.1097293
 0.09884747 0.09890156 0.11711936 0.10428048]",-1.457119577417344,2.0946152420564115
BMY,0.00021084838201247466,0.00018433559271663507,"[0.07234949 0.08222643 0.08599187 0.12096237 0.09340599 0.1177054
 0.12027549 0.1085948  0.09940536 0.09908287]",-1.6508698663327137,2.512532352055785
CTAS,0.00024689756439250565,0.0002161972552472229,"[0.07979307 0.0983845  0.08312932 0.10831275 0.07794177 0.10817335
 0.10849821 0.10800123 0.14770654 0.08005924]",-1.5651169933762197,2.148040698273266
SNPS,0.0004998907347013005,0.00048398230982302714,"[0.08616493 0.0901847  0.08720647 0.11048056 0.09968824 0.09327702
 0.09520952 0.11146341 0.11106076 0.11526439]",-1.6673472264978257,3.9874833327818915
MS,0.0003352318201986531,0.0002958678745914739,"[0.07588576 0.07009908 0.11168902 0.0874455  0.11405286 0.11516754
 0.11132783 0.10447571 0.11428276 0.09557395]",-1.3927019338911852,2.685423878680058
NTRS,0.0005544157217478006,0.0008307732499665509,"[0.08005968 0.09043538 0.12227902 0.08120868 0.11713456 0.09631185
 0.13316938 0.08929527 0.09098599 0.09912007]",-1.931323671247323,5.366903054317959
DE,0.0003964441069429808,0.0003772958396739236,"[0.08514835 0.07761219 0.10530911 0.0868441  0.10718789 0.11117008
 0.10411684 0.09959364 0.1178823  0.10513552]",-1.82664341551324,4.377732938209983
TEL,0.0002873447998739806,0.00025451193920663577,"[0.07206097 0.09995523 0.11079688 0.10484674 0.08726545 0.08867238
 0.10834568 0.09956716 0.12698701 0.10150251]",-1.1033001041795805,1.5365827814895043
GS,0.00025634985345982447,0.00021960085867580014,"[0.07885438 0.07189754 0.11299405 0.14174183 0.10693787 0.09144112
 0.09605157 0.09652537 0.10298455 0.10057164]",-1.6314050790416565,4.242110019493364
HAL,0.0007280868646309143,0.0006285865486474761,"[0.06068382 0.10095634 0.09928608 0.09795073 0.1331249  0.09514519
 0.10091935 0.08489819 0.11169052 0.11534481]",-0.9457675681393211,1.0768262352683313
K,0.0001926100501429615,0.00025084852927778254,"[0.07770465 0.10641241 0.09809376 0.10639818 0.09586769 0.10484343
 0.09859479 0.10768145 0.0973125  0.10709113]",-1.8379685704462356,3.156360369741161
IRM,0.00035784532280418895,0.00026224396173286463,"[0.07301872 0.07182811 0.1070925  0.11120194 0.08784313 0.10048066
 0.11263841 0.10970903 0.11058421 0.11560328]",-2.449012229406509,7.8527346975815835
HES,0.0006176079784080227,0.00045138746307401883,"[0.08167545 0.07386225 0.1021063  0.09477437 0.11886421 0.11165386
 0.12452783 0.09909977 0.10318002 0.09025599]",-1.6321932172419904,3.047512594365248
KEY,0.0013285475029712846,0.0022076587279093556,"[0.07273384 0.07137372 0.13110782 0.12120964 0.10882425 0.09327934
 0.12069    0.10702095 0.09289253 0.08086793]",-0.9277418001515129,1.5692685327123437
DGX,0.00020960370413422013,0.00021434025622068384,"[0.06765551 0.09085321 0.10434795 0.10102489 0.10401296 0.13636383
 0.09793305 0.09006555 0.09658813 0.11115502]",-1.288940767396532,2.2423141385880845
TER,0.0006659094820074033,0.0006282043776803272,"[0.07620917 0.08747787 0.11798123 0.09555972 0.11442569 0.1038199
 0.09504286 0.09596089 0.09724103 0.11628166]",-0.9678536423203699,2.264226297000509
YUM,0.0001722577192872646,0.00012733494449995277,"[0.09324139 0.0691868  0.10284622 0.08249108 0.10520428 0.10130355
 0.07937025 0.08494759 0.17344058 0.10796827]",-1.066380979317548,1.0114028670240756
GRMN,0.0003211728881858192,0.0005625950106225023,"[0.06597385 0.07586093 0.11466889 0.08482464 0.10814383 0.0871787
 0.1178776  0.12503304 0.10364744 0.11679108]",-1.3399087708883517,1.626330042640273
ARE,0.0005721148350551407,0.0005896214340858129,"[0.07345518 0.0827888  0.09439024 0.12370921 0.14328624 0.11047121
 0.09886101 0.10284498 0.08258266 0.08761045]",-1.4682604283771377,5.201479411071012
BALL,0.0005233677176944365,0.0005700113737198188,"[0.06914446 0.10328057 0.09958613 0.10668995 0.11317853 0.10751984
 0.08876183 0.12084914 0.09500947 0.09598006]",-1.0240668810803868,2.119829469065102
VRTX,0.0004003092105935366,0.0005844754211237332,"[0.06780498 0.19105564 0.07226808 0.08741169 0.07163509 0.08364657
 0.10771738 0.07937268 0.16687076 0.07221714]",-1.69835817311836,2.5898267333865634
